#wavelength[A] flux[arbitraty]
  7138.39648  0.0794759989
  7148.06689  0.114493966
  7157.75049  0.129507065
  7167.44678  0.0493876934
  7177.15723 -0.0173090696
  7186.87939 -0.0456091166
  7196.6167 -0.0133761168
  7206.36523  0.0356507301
  7216.12793  0.0895838737
  7225.90381  0.102169275
  7235.69336  0.0816414356
  7245.49512  0.0801563263
  7255.31104  0.139009356
  7265.13965  0.138431311
  7274.98242  0.111817002
  7284.83789  0.107434988
  7294.70654  0.0790294409
  7304.58936  0.070954442
  7314.48486  0.0725349188
  7324.39404  0.077780962
  7334.31641  0.0646936893
  7344.25244  0.0204048157
  7354.20166  0.0637013912
  7364.16455 -0.0013859868
  7374.14062 -0.000388383865
  7384.13086 -0.00201153755
  7394.13379  0.0286655426
  7404.15137 -0.010294199
  7414.18115 -0.0252987742
  7424.22559  0.003251791
  7434.28369 -0.0138674974
  7444.35498 -0.0368728638
  7454.43945 -0.0320863128
  7464.53857  0.00640285015
  7474.65088 -0.0252245087
  7484.77686 -0.0530370437
  7494.91748 -0.026457293
  7505.0708 -0.0551385656
  7515.23779 -0.0553199463
  7525.41846 -0.0109865414
  7535.61377 -0.00291760522
  7545.82227 -0.0317771398
  7556.04492  0.0294453278
  7566.28076 -0.0777230635
  7576.53125 -0.009773314
  7586.79492 -0.0427621789
  7597.07324 -0.305966079
  7607.36475 -0.447691441
  7617.6709 -0.290434569
  7627.99023 -0.246589005
  7638.32471 -0.159441039
  7648.67188 -0.0636787936
  7659.03418  0.0353135839
  7669.40967  0.120599046
  7679.7998  0.240185097
  7690.20312  0.188647971
  7700.62207  0.205578119
  7711.05469  0.253442049
  7721.50049  0.178165257
  7731.96143  0.116750322
  7742.43555  0.153445914
  7752.9248  0.121588916
  7763.42773  0.0998487622
  7773.94531  0.0843543261
  7784.47607  0.0625094399
  7795.02197  0.00257381168
  7805.58154 -0.0165335368
  7816.15674 -0.0197290871
  7826.74512 -0.0161832199
  7837.34863 -0.00242898194
  7847.96533 -0.00426808326
  7858.59766 -0.0106244562
  7869.24316 -0.0165393855
  7879.9043 -0.00973708183
  7890.5791 -0.000160861542
  7901.26904 -0.00796173979
  7911.97217 -0.0123124411
  7922.69092 -0.00868572854
  7933.42432 -0.00331418682
  7944.17188 -0.00390770799
  7954.93408 -0.00194845209
  7965.71094 -0.00103615236
  7976.50293 -0.000317109458
  7987.30811  0.
